r2	cor	mean	median	rmse	type	num_genes
0.7332317262890886	0.8569599246630982	7.3722396370620285	5.348163887352456	10.06123956202842	test	250
0.8447735467691018	0.9212700400365292	5.649955074319251	4.150887261124252	7.673628348299529	training	250
0.7583343847154097	0.8712940522461593	7.075926188237898	5.516788196916574	9.576169660646581	test	300
0.8790120231327936	0.9397919155939712	5.036915226595102	3.929697017320519	6.775085951230278	training	300
0.715702040257302	0.8467159868659355	7.670531954367141	5.37846632423028	10.386548948280133	test	300
0.8067305874351598	0.8998215506379549	6.351024391360227	4.629272560039385	8.563172330902836	training	300
0.7233703008897039	0.8511928565288213	7.5895582123379475	5.3831100931080345	10.245515219973367	test	300
0.8443389551261765	0.9211353370266173	5.757954210249272	4.5608421981556315	7.684686707029724	training	300
0.7457487664546198	0.8641145711859038	7.2285393429854174	5.109685695597648	9.822361979324233	test	300
0.8992346334271456	0.9507288753987584	4.644615535077252	3.522822875604864	6.182597831269819	training	300
0.7198266398953778	0.8491121445600704	7.636443305873199	5.569409501828524	10.310929559920423	test	300
0.804038355061654	0.8982666718079111	6.38422169218857	4.767501114906832	8.622772980545772	training	300
0.7469179060456336	0.8647798393073637	7.175226464032126	5.2026766737876295	9.799752562413795	test	300
0.8766141334029239	0.9388099255431173	5.090260986885527	3.7730907576919788	6.840946383149694	training	300
0.7484741688967552	0.865606700229952	7.106152615303037	5.016156813104247	9.769575578151088	test	300
0.8922642663014775	0.9471048613539393	4.751204718527372	3.558893144159201	6.3932134550284525	training	300
0.7477077798837645	0.8651737752137926	7.073389047459983	4.994612174040951	9.784448008256827	test	300
0.8616565311070731	0.9306193559279262	5.229131014573059	3.7080991169296125	7.243958708181122	training	300
0.7401261264454289	0.8609076288944402	7.309278288335594	5.467213732443739	9.93037640681036	test	300
0.8544758490993555	0.9266024760828292	5.496689053317415	4.129791395157728	7.430288343773072	training	300
0.7252401455217394	0.8522953649132012	7.495951448173503	5.166524375241624	10.210829853930875	test	300
0.8216569973747218	0.9083343768067723	6.050509170196348	4.282087885616203	8.225792295336436	training	300
0.7496167825821689	0.8662698954512156	7.172811838959898	5.384543126893268	9.747360052541186	test	350
0.887126033511905	0.9443885379045422	4.865302853547185	3.6839448161223918	6.543851471725003	training	350
0.7552370261779252	0.8695332883333426	7.2242962138735525	5.870584536538347	9.637341781565938	test	350
0.8707425879589212	0.9354152388301424	5.2717910752207855	4.345860313030486	7.002808402087401	training	350
0.7315688897961664	0.85592101660557	7.5027991201258155	5.664659140088216	10.09254801953397	test	350
0.828813151191683	0.9123596820532953	5.985348710103228	4.73865835103781	8.058990412545937	training	350
0.7153562573229524	0.8464925871489981	7.776895526172186	5.636744855955692	10.392863450122881	test	350
0.8100200054894359	0.9017696120057042	6.357608244343335	4.756361305791588	8.489914344987417	training	350
0.7525487644417632	0.8680472210084277	7.011915591643882	4.99858163727599	9.69012130921323	test	350
0.8817869546015681	0.9415465484874764	4.880187453519335	3.5534507782681812	6.69653792910449	training	350
0.742571502763148	0.8622537485761226	7.273255539863185	5.347514358125462	9.883544258171911	test	350
0.8509313866184245	0.9246320641777424	5.547435561964242	4.327474189025235	7.520384618297063	training	350
0.7367808790985706	0.858949033005618	7.339068719291616	5.2694190357738036	9.994086817712848	test	350
0.8464772553915733	0.9221851922038675	5.613504370693499	4.181778390429307	7.631577232447102	training	350
0.75200087342866	0.8678443018565849	7.268604999658271	5.484944685258808	9.700843007232349	test	350
0.8651802044083435	0.9325792526185069	5.368896023691164	4.230790988955126	7.151188922395899	training	350
0.7280334812999589	0.853897050046456	7.53100462945715	5.532516103616432	10.15879324922091	test	350
0.8173236645431107	0.9058280746155094	6.153743195584736	4.617588219618309	8.325312612092606	training	350
0.744941405627638	0.8635958692461676	7.233295046090696	5.087120362057448	9.837944804006723	test	350
0.873838580351761	0.937126197214054	5.135405104013213	3.7126402740782423	6.918160599217962	training	350
0.7584754207505596	0.8714262575589938	6.816338384328391	4.475337176687063	9.573374926883739	test	400
0.8826287839723431	0.941883759066259	4.794173004590581	3.233843423004031	6.672636753756267	training	400
0.7398524551178527	0.86077387501765	7.487173611504706	5.610630451367616	9.935603835306715	test	400
0.8501599498768554	0.924319619233139	5.704570308395492	4.520321524874005	7.53960500330863	training	400
0.7580233475450875	0.8711059706989474	6.979106946840571	5.0216595116884175	9.582330212155098	test	400
0.8865031706531928	0.9440713234444177	4.784510095607931	3.497890791057671	6.561299929913333	training	400
0.734948091351024	0.8578399212647586	7.265699392547946	5.2854563385395	10.02882074028401	test	400
0.8537521632970124	0.9263207480166065	5.441130188684021	4.14515409037128	7.448291742118749	training	400
0.7684160700528128	0.8770504335641515	6.864423060085426	5.374033794660209	9.37429487463359	test	400
0.8867195881204273	0.944107532504827	4.79936551638068	3.7800738672093663	6.555597788588145	training	400
0.7291070174546973	0.854443231407907	7.499755424641996	5.563660522300925	10.138723471216935	test	400
0.8362880368221134	0.9166407563968826	5.84606282251979	4.555086584278462	7.880687645381446	training	400
0.7581204778848083	0.871124184290344	7.10274834996467	5.507274530517588	9.580406827402348	test	400
0.8787741608027927	0.939858621764746	5.067794090031281	4.03117251499133	6.781420144191211	training	400
0.7366071165410129	0.858801946943768	7.260561514040243	5.2012706373268	9.997385042350283	test	400
0.8571755103018522	0.9281523102441291	5.389297289050634	4.113003008683616	7.36052044492333	training	400
0.7359899033006585	0.8585074192391101	7.345901192599773	5.292359170710412	10.009091713566715	test	400
0.8402260125972463	0.9187470955358688	5.7094394169481015	4.164363474967473	7.785589556024029	training	400
0.7333132181891538	0.856862432153626	7.329880272861768	5.430827831633245	10.059702699823616	test	400
0.8511271767440507	0.9248124363073584	5.5019748805307085	4.17922589145043	7.514955492278658	training	400
0.7577111346943304	0.8711141114990404	7.103406113376013	5.374004917522665	9.588510069173712	test	450
