rank	v1	v2	entrez	symbol
405	y	y	1803	DPP4
406	y	y	2672	GFI1
407	y	y	5341	PLEK
408	y	y	6352	CCL5
409	y	y	57509	MTUS1
410	y	y	9341	VAMP3
411	y	y	152007	GLIPR2
412	y	y	8445	DYRK2
413	y	y	26270	FBXO6
414	y	y	6228	RPS23
415	y	y	3423	IDS
416	y	y	54865	GPATCH4
417	y	y	1955	MEGF9
418	y	y	10100	TSPAN2
419	y	y	55163	PNPO
420	y	y	1802	DPH2
421	y	y	29799	YPEL1
422	y	y	8725	URI1
423	y	y	154141	MBOAT1
424	y	y	10128	LRPPRC
425	y	y	10231	RCAN2
426	y	y	54482	TRMT13
427	y	y	23082	PPRC1
428	y	y	84306	PDCD2L
429	y	y	594	BCKDHB
430	y	y	3899	AFF3
431	y	y	142	PARP1
432	y	y	6132	RPL8
433	y	y	257019	FRMD3
434	y	y	930	CD19
435	y	y	1879	EBF1
436	y	y	4839	NOP2
437	y	y	1117	CHI3L2
438	y	y	9334	B4GALT5
439	y	y	1939	EIF2D
440	y	y	116369	SLC26A8
441	y	y	7453	WARS
442	y	y	55356	SLC22A15
443	y	y	92935	MARS2
444	y	y	4830	NME1
445	y	y	79872	CBLL1
446	y	y	93979	CPA5
447	y	y	7923	HSD17B8
448	y	y	113246	C12orf57
449	y	y	5464	PPA1
450	y	y	51225	ABI3
451	y	y	6207	RPS13
452	y	y	118932	ANKRD22
453	y	y	6125	RPL5
454	y	y	84991	RBM17
455	y	y	26751	SH3YL1
456	y	y	965	CD58
457	y	y	10235	RASGRP2
458	y	y	6723	SRM
459	y	y	26240	FAM50B
460	y	y	152137	CCDC50
461	y	y	6920	TCEA3
462	y	y	79992	AGPAT4-IT1
463	y	y	1573	CYP2J2
464	y	y	202134	FAM153B
465	y	y	6036	RNASE2
466	y	y	64400	AKTIP
467	y	y	79053	ALG8
468	y	y	9315	NREP
469	y	y	4691	NCL
470	y	y	27079	RPUSD2
471	y	y	3112	HLA-DOB
472	y	y	8460	TPST1
473	y	y	201633	TIGIT
474	y	y	253782	CERS6
475	y	y	23560	GTPBP4
476	y	y	4863	NPAT
477	y	y	23108	RAP1GAP2
478	y	y	6175	RPLP0
479	y	y	9332	CD163
480	y	y	84311	MRPL45
481	y	y	3033	HADH
482	y	y	719	C3AR1
483	y	y	6732	SRPK1
484	y	y	10184	LHFPL2
485	y	y	8672	EIF4G3
486	y	y	3150	HMGN1
487	y	y	1479	CSTF3
488	y	y	1028	CDKN1C
489	y	y	114836	SLAMF6
490	y	y	64231	MS4A6A
491	y	y	5898	RALA
492	y	y	57711	ZNF529
493	y	y	92	ACVR2A
494	y	y	55062	WIPI1
495	y	y	23218	NBEAL2
496	y	y	7570	ZNF22
497	y	y	5900	RALGDS
498	y	y	7378	UPP1
499	y	y	54433	GAR1
500	y	y	56985	ADPRM
501	y	y	57696	DDX55
502	y	y	9790	BMS1
503	y	y	51669	TMEM66
504	y	y	57136	APMAP
505	y	y	241	ALOX5AP
506	y	y	5271	SERPINB8
507	y	y	4234	METTL1
508	y	y	118429	ANTXR2
509	y	y	81544	GDPD5
510	y	y	90075	ZNF30
511	y	y	84946	LTV1
512	y	y	137797	LYPD2
513	y	y	1318	SLC31A2
514	y	y	2593	GAMT
515	y	y	11326	VSIG4
516	y	y	23710	GABARAPL1
517	y	y	57122	NUP107
518	y	y	7203	CCT3
519	y	y	1019	CDK4
520	y	y	147184	TMEM99
521	y	y	84824	FCRLA
522	y	y	6919	TCEA2
523	y	y	967	CD63
524	y	y	9678	PHF14
525	y	y	158295	MGC24103
526	y	y	16	AARS
527	y	y	79731	NARS2
